序号	作物	成果名称	审定或鉴定单位	编号	时间	完成人	选育单位
华玉13	湖北省农作物品各占审定委员会	鄂审玉2014001	2014	刘永忠	华中农业大学
121	
华棉3109	湖北省农作物品种审定委员会	鄂审棉2014006	2014	聂以春、张献龙、朱龙付	华中农业大学
120	油菜	华豫油63	河南省农作物品种审定委员会	豫审油2014004	2014	马朝芝	华中农业大学
119	油菜	圣光87	国家农作物品种审定委员会	证书还未出	2013	杨光圣、洪登峰、董发明、万丽丽	华中农业大学
118	油菜	圣光901	甘肃省农作物品种审定委员会	甘审油2013004	2013	杨光圣、洪登峰、董发明、万丽丽	华中农业大学
117	油菜	华航901	国家农作物品种审定委员会	国审油2012002	2012	吴江生等	华中农业大学
116	
金科优651	湖北省农作物品种审定委员会	鄂审稻2013006	2013	牟同敏，李春海，孙焱、陈云	华中农业大学
115	
分子标记辅助选择培育抗稻瘟病和白叶枯病的水稻光温敏核不育系	湖北省科技厅	
2013	姜洁锋 牟同敏 米甲明 李春海 孙焱 陈云	华中农业大学
114	
华红橘1号	湖北省农作物品种审定委员会	鄂审果2013001	2013	伊华林等	华中农业大学
113	
华两优2890	陕西省农作物品种审定委员会	
2012	牟同敏、徐才国、李春海、孙焱、张启发	华中农业大学
112	
华328S	湖北省农作物品种审定委员会	
2012	牟同敏、李春海	华中农业大学
111	油菜	圣光87	湖北省农作物品种审定委员会	
2012	杨光圣等	华中农业大学
110	玉米	华玉11	重庆农作物品种审定委员会	渝审玉20190026	2019	刘永忠，马克军，徐尚忠，杜雷，辛旺森，张豪	华中农业大学，国垠天府农业科技股份有限公司
四川省农作物品种审定委员会	川审玉20190010	2019
国家农作物品种审定委员会	国审玉20190403	20191031
湖北省农作物品种审定委员会	
2012
109	玉米	双玉919	湖北省农作物品种审定委员会	
2012	刘永忠等	华中农业大学
108	油菜	华浙油0742	湖北省农作物品种审定委员会	
2012	马朝芝等	华中农业大学
107	
华粳295	湖北省农作物品种审定委员会	
2011	牟同敏、李春海、张启发	华中农业大学
106	油菜	华双128	江西省农作物品种审定委员会	
2011	吴江生	华中农业大学
105	
华玉10号	湖北省农作物品种审定委员会	
2011	刘永忠	华中农业大学
104	油菜	圣光86	国家农作物品种审定委员会	
2011	杨光圣、刘平武、洪登峰	华中农业大学
103	油菜	天油杂3号	湖北省农作物品种审定委员会	
2011	杨光圣，刘平武，洪登峰	华中农业大学
102	油菜	华杂62	国家农作物品种审定委员会（下游）	
2011	傅廷栋等	华中农业大学
101	油菜	华油杂95	国家农作物品种审定委员会（下游）	
2011	马朝芝等	华中农业大学
100	油菜	圣光401	甘肃省农作物品种审定委员会	
2010	杨光圣、刘平武、洪登峰	华中农业大学
99	油菜	圣光402	甘肃省农作物品种审定委员会	
2010	杨光圣、刘平武、洪登峰	华中农业大学
98	油菜	禾盛油868	国家农作物品种审定委员会	
2010	杨光圣、刘平武、洪登峰	华中农业大学
97	油菜	鄂审油2010004	湖北省农作物品种审定委员会	
2010	马朝芝等（第二单位）	华中农业大学
96	
华恢1号	农业部：国家农业转基因生物安全证书	
2009	张启发等	华中农业大学
95	
